itemid,appno,docname,country_name,country_code,articles,year,judgement_date,applicant_type,has_violation,violation_count,no_violation_count,violated_articles,no_violation_articles,has_mixed_decision,judge_president,judge_count,judge_names_list
001-102704,56334/08,CASE OF JEDRZEJCZAK v. POLAND,Poland,pl,6,2011,11/01/2011 00:00:00,Individual,True,1,0,6-1,,False,Ján Šikuta,4,Ján Šikuta|Lech Garlicki|Vincent A. de Gaetano|Fatoş Aracı
001-73312,19324/02,CASE OF LEGER v. FRANCE,France,fr,"3, 5",2006,11/04/2006 00:00:00,Individual,False,0,2,,"5-1-a, 3",False,MrA.B. Baka,8,MrA.B. Baka|MrJ.-P. Costa|MrR. Türmen|MrK. Jungwiert|MrM. Ugrekhelidze|MrsA. Mularoni|MrsE. Fura-Sandström|Mrs S. Dollé
001-154150,15259/11,CASE OF MASLÁK  v. SLOVAKIA,Slovakia,sk,5,2015,28/04/2015 00:00:00,Individual,True,1,0,5,,False,Josep Casadevall,8,Josep Casadevall|Luis López Guerra|Ján Šikuta|Dragoljub Popović|Kristina Pardalos|Johannes Silvis|Valeriu Griţco|Stephen Phillips
001-163106,64752/09,CASE OF MANZHOS v. RUSSIA,Russian Federation,ru,3,2016,24/05/2016 00:00:00,Individual,True,1,0,3,,False,Luis López Guerra,8,Luis López Guerra|Helena Jäderblom|Helen Keller|Dmitry Dedov|Branko Lubarda|Pere Pastor Vilanova|Alena Poláčková|Stephen Phillips
001-108113,6222/10,CASE OF A.H. KHAN v. THE UNITED KINGDOM,United Kingdom,gb,"3, 8",2011,20/12/2011 00:00:00,Individual,False,0,1,,8,False,Lech Garlicki,8,Lech Garlicki|David Thór Björgvinsson|Nicolas Bratza|George Nicolaou|Ledi Bianku|Nebojša Vučinić|Vincent A. De Gaetano|Lawrence Early
001-104919,71071/01,CASE OF CERNIKOVS v. LATVIA,Latvia,lv,"6, 5",2011,31/05/2011 00:00:00,Individual,True,2,0,"5-3, 6-1",,False,Ján Šikuta,4,Ján Šikuta|Ineta Ziemele|Kristina Pardalos|Marialena Tsirli
001-172459,3869/07,CASE OF THUO v. CYPRUS,Cyprus,cy,3,2017,04/04/2017 00:00:00,Individual,True,1,1,3,3,False,Helena Jäderblom,8,Helena Jäderblom|Branko Lubarda|Luis López Guerra|Helen Keller|Dmitry Dedov|Pere Pastor Vilanova|Georgios A. Serghides|Fatoş Aracı
001-60844,33227/96,CASE OF SCURCI CHIMENTI v. ITALY,Italy,it,"6, p1-1, 41",2002,19/12/2002 00:00:00,Individual,True,1,0,6-1,,True,MrC.L. Rozakis,8,MrC.L. Rozakis|MrsF. Tulkens|MrG. Bonello|MrP. Lorenzen|MrsN. Vajić|MrsS. Botoucharova|MrG. Raimondi|Mr S. Nielsen
001-93093,14298/06,CASE OF BILOKIN AND OTHERS v. UKRAINE,Ukraine,ua,"6, p1-1",2009,18/06/2009 00:00:00,Multiple Applicants,True,2,0,"6, p1-1",,False,,0,
001-187742,18096/12;53601/12;23542/13;32194/13;39165/13;39173/13;39180/13;39184/13;49923/13;57424/13;58995/13;68908/13;68918/13;76512/13;76519/13;76527/13;76530/13;23544/14;30287/14;46819/14;46862/14,CASE OF HÔPITAL LOCAL SAINT-PIERRE D'OLÉRON AND OTHERS v. FRANCE,France,fr,"6, 35",2018,08/11/2018 00:00:00,Multiple Applicants,False,0,1,,6,True,Angelika Nußberger,8,Angelika Nußberger|Yonko Grozev|André Potocki|Síofra O’Leary|Gabriele Kucsko-Stadlmayer|Lәtif Hüseynov|Lado Chanturia|Claudia Westerdiek
001-98329,26321/03,CASE OF BIK v. RUSSIA,Russian Federation,ru,"41, 5",2010,22/04/2010 00:00:00,Individual,True,1,0,5-1,,True,Christos Rozakis,8,Christos Rozakis|Nina Vajić|Anatoly Kovler|Elisabeth Steiner|Khanlar Hajiyev|Giorgio Malinverni|George Nicolaou|Søren Nielsen
001-89592,21586/02,CASE OF AKHMADOV AND OTHERS v. RUSSIA,Russian Federation,ru,"2, 5, 13, 3, 14",2008,14/11/2008 00:00:00,Multiple Applicants,True,3,6,"2, 2, 13","3, 3, 13, 5, 13, 14",False,,0,
001-90452,13670/03,CASE OF ARZU AKHMADOVA AND OTHERS v. RUSSIA,Russian Federation,ru,"2, 13, 3, 5",2009,08/01/2009 00:00:00,Multiple Applicants,True,8,0,"2, 3, 2, 13, 3, 13, 5, 13",,False,,0,
001-187219,80018/12,CASE OF THIAM v. FRANCE,France,fr,6,2018,18/10/2018 00:00:00,Individual,False,0,1,,6,False,Angelika Nußberger,8,Angelika Nußberger|Yonko Grozev|André Potocki|Síofra O’Leary|Mārtiņš Mits|Lәtif Hüseynov|Lado Chanturia|Claudia Westerdiek
001-85575,26338/06,CASE OF MURTAZIN v. RUSSIA,Russian Federation,ru,"6, p1-1",2008,27/03/2008 00:00:00,Individual,True,2,0,"6, p1-1",,False,Christos Rozakis,8,Christos Rozakis|Nina Vajić|Anatoly Kovler|Elisabeth Steiner|Khanlar Hajiyev|Giorgio Malinverni|George Nicolaou|Søren Nielsen
001-157346,14322/12,CASE OF MILKA v. POLAND,Poland,pl,8,2015,15/09/2015 00:00:00,Individual,True,1,0,8,,False,Guido Raimondi,8,Guido Raimondi|Päivi Hirvelä|George Nicolaou|Ledi Bianku|Krzysztof Wojtyczek|Faris Vehabović|Yonko Grozev|Françoise Elens-Passos
001-61281,59634/00,CASE OF DE GENNARO v. ITALY,Italy,it,"6, 41, p1-1",2003,31/07/2003 00:00:00,Individual,True,1,0,6-1,,True,MrC.L. Rozakis,8,MrC.L. Rozakis|MrP. Lorenzen|MrG. Bonello|MrsN. Vajić|MrsS. Botoucharova|MrV. Zagrebelsky|MrsE. Steiner|Mr S. Nielsen
001-84131,35760/04,CASE OF ALEKSANDR ZHUKOV v. RUSSIA,Russian Federation,ru,"6, p1-1",2007,20/12/2007 00:00:00,Individual,True,1,0,6,,False,MrL. Loucaides,8,MrL. Loucaides|MrsN. Vajić|MrA. Kovler|MrK. Hajiyev|MrD. Spielmann|MrS.E. Jebens|MrG. Malinverni|Mr S. Nielsen
001-97957,4694/03,CASE OF MUSTAFA AND ARMAĞAN AKIN v. TURKEY,Turkey,tr,"8, 41",2010,06/04/2010 00:00:00,Individual,True,1,0,8,,True,Françoise Tulkens,8,Françoise Tulkens|Ireneu Cabral Barreto|Vladimiro Zagrebelsky|Danutė Jočienė|András Sajó|Nona Tsotsoria|Işıl Karakaş|Sally Dollé
001-81938,22600/02,CASE OF KUCHERENKO v. UKRAINE,Ukraine,ua,6,2007,26/07/2007 00:00:00,Individual,True,1,0,6-1,,False,MrP. Lorenzen,8,MrP. Lorenzen|MrsS. Botoucharova|MrV. Butkevych|MrsM. Tsatsa-Nikolovska|MrR. Maruste|MrJ. Borrego Borrego|MrsR. Jaeger|Mrs C. Westerdiek
